"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",45000,30000,30000,35000,5000,30000,40000
0,"EryR",21666.6666666667,16666.6666666667,13166.6666666667,17166.6666666667,2466.44143115812,14700.2252355085,19633.1080978248
0,"TetR",23333.3333333333,14333.3333333333,11166.6666666667,16277.7777777778,3644.29200223183,12633.485775546,19922.0697800096
0,"DRP",0,0,0,0,0,0,0
0,"P",212500,175000,150000,179166.666666667,18162.0789314195,161004.587735247,197328.745598086
1,"Total",83333.3333333333,60000,43333.3333333333,62222.2222222222,11600.3405654562,50621.8816567661,73822.5627876784
1,"EryR",46666.6666666667,20000,26666.6666666667,31111.1111111111,8012.33616769776,23098.7749434134,39123.4472788089
1,"TetR",26666.6666666667,33333.3333333333,23333.3333333333,27777.7777777778,2939.72367896066,24838.0540988171,30717.5014567384
1,"DRP",0,0,0,0,0,0,0
1,"P",210000,205000,255000,223333.333333333,15898.9866902824,207434.346643051,239232.320023616
2,"Total",7e+05,333333.333333333,333333.333333333,455555.555555556,122222.222222222,333333.333333333,577777.777777778
2,"EryR",180000,2e+05,163333.333333333,181111.111111111,10599.3244601883,170511.786650923,191710.435571299
2,"TetR",150000,166666.666666667,2e+05,172222.222222222,14698.6183948033,157523.603827419,186920.840617026
2,"DRP",0,0,0,0,0,0,0
2,"P",310000,2e+05,250000,253333.333333333,31797.9733805649,221535.359952768,285131.306713898
3,"Total",3e+06,2333333.33333333,3e+06,2777777.77777778,222222.222222222,2555555.55555556,3e+06
3,"EryR",1533333.33333333,633333.333333333,1333333.33333333,1166666.66666667,272845.092395748,893821.574270918,1439511.75906241
3,"TetR",8e+05,833333.333333333,1333333.33333333,988888.888888889,172490.829958445,816398.058930444,1161379.71884733
3,"DRP",0,0,0,0,0,0,0
3,"P",4e+05,250000,350000,333333.333333333,44095.8551844098,289237.478148923,377429.188517743
4,"Total",13666666.6666667,10666666.6666667,1.1e+07,11777777.7777778,949333.749479726,10828444.0282981,12727111.5272575
4,"EryR",7666666.66666667,8666666.66666667,6e+06,7444444.44444444,777777.777777778,6666666.66666667,8222222.22222222
4,"TetR",5333333.33333333,2e+06,1666666.66666667,3e+06,1170628.19476142,1829371.80523858,4170628.19476142
4,"DRP",0,0,0,0,0,0,0
4,"P",1500000,6e+05,4e+05,833333.333333333,338296.385503074,495036.947830259,1171629.71883641
5,"Total",86666666.6666667,116666666.666667,86666666.6666667,96666666.6666667,1e+07,86666666.6666667,106666666.666667
5,"EryR",43333333.3333333,7e+07,43333333.3333333,52222222.2222222,8888888.88888889,43333333.3333333,61111111.1111111
5,"TetR",36666666.6666667,23333333.3333333,10333333.3333333,23444444.4444444,7601981.54804326,15842462.8964012,31046425.9924877
5,"DRP",0,0,0,0,0,0,0
5,"P",7500000,2100000,1950000,3850000,1825513.62635287,2024486.37364713,5675513.62635287
6,"Total",7e+08,5e+08,366666666.666667,522222222.222222,96864420.9675705,425357801.254652,619086643.189793
6,"EryR",186666666.666667,233333333.333333,266666666.666667,228888888.888889,23200681.1309123,205688207.757977,252089570.019801
6,"TetR",2.3e+08,133333333.333333,133333333.333333,165555555.555556,32222222.2222222,133333333.333333,197777777.777778
6,"DRP",0,0,0,0,0,0,0
6,"P",9e+06,1.6e+07,6e+06,10333333.3333333,2962731.47243853,7370601.8608948,13296064.8057719
7,"Total",1466666666.66667,1.4e+09,1433333333.33333,1433333333.33333,19245008.9729876,1414088324.36035,1452578342.30632
7,"EryR",599999998,1033333327.33333,833333331.333333,822222218.888889,125215861.8714,697006357.017489,947438080.760289
7,"TetR",599999998,566666660.666667,599999998,588888885.555556,11111112.4444445,577777773.111111,599999998
7,"DRP",2.0000000199681,6.00000005990431,2.0000000199681,3.33333336661351,1.3333333466454,2.0000000199681,4.66666671325891
7,"P",8.5e+07,2.1e+07,16500000,40833333.3333333,22121507.8851129,18711825.4482205,62954841.2184462
8,"Total",2133333333.33333,1366666666.66667,1166666666.66667,1555555555.55556,294601635.190286,1260953920.36527,1850157190.74584
8,"EryR",966666660.666667,733333327.333333,966666658.666667,888888882.222222,77777777.4444445,811111104.777778,966666659.666667
8,"TetR",999999994,666666660.666667,266666658.666667,644444437.777778,211986489.797794,432457947.979984,856430927.575572
8,"DRP",6.00000005990431,6.00000005990431,8.00000007987242,6.66666673322702,0.666666673322701,6.00000005990431,7.33333340654972
8,"P",3.5e+07,1e+07,5e+06,16666666.6666667,9279607.27138337,7387059.39528329,25946273.93805
16,"Total",1433333333.33333,1133333333.33333,1466666666.66667,1344444444.44444,105993244.601883,1238451199.84256,1450437689.04633
16,"EryR",399999978,733333321.333333,966666646.666667,699999982,164429429.622334,535570552.377666,864429411.622333
16,"TetR",633333311.333333,599999988,633333313.333333,622222204.222222,11111108.1111111,611111096.111111,633333312.333333
16,"DRP",22.0000002196491,12.0000001198086,20.000000199681,18.0000001797129,3.05505049380568,14.9449496859073,21.0550506735186
16,"P",2.5e+08,2.15e+08,7.5e+07,1.8e+08,53463383.1078181,126536616.892182,233463383.107818
17,"Total",766666666.666667,966666666.666667,933333333.333333,888888888.888889,61864048.4758891,827024840.413,950752937.364778
17,"EryR",366666666.666667,466666648.666667,466666646.666667,433333320.666667,33333326.9999999,399999993.666667,466666647.666667
17,"TetR",466666666.666667,399999982,399999980,422222209.555555,22222228.5555556,399999981,444444438.111111
17,"DRP",0,18.0000001797129,20.000000199681,12.6666667931313,6.3595947396075,6.30707205352383,19.0262615327388
17,"P",2.3e+09,1e+08,1.9e+08,863333333.333333,718803017.368304,144530315.96503,1582136350.70164
18,"Total",833333333.333333,1233333333.33333,1e+09,1022222222.22222,116003405.654562,906218816.567661,1138225627.87678
18,"EryR",466666656.666667,899999978,566666646.666667,644444427.111111,130998065.116236,513446361.994875,775442492.227347
18,"TetR",333333323.333333,299999978,399999980,344444427.111111,29397236.6636186,315047190.447492,373841663.77473
18,"DRP",10.0000000998405,22.0000002196491,20.000000199681,17.3333335063902,3.71184294561258,13.6214905607777,21.0451764520028
18,"P",8e+08,9.5e+07,2.4e+08,378333333.333333,214948314.200828,163385019.132506,593281647.534161
19,"Total",1.5e+09,7e+08,1366666666.66667,1188888888.88889,247456193.903557,941432694.985332,1436345082.79245
19,"EryR",733333323.333333,333333329.333333,866666624.666666,644444425.777778,160246714.016502,484197711.761276,804691139.79428
19,"TetR",533333323.333333,199999996,466666624.666666,399999981.333333,101835009.988016,298164971.345317,501834991.32135
19,"DRP",10.0000000998405,4.00000003993621,42.0000004193302,18.6666668530356,11.7945374597267,6.87212939330895,30.4612043127623
19,"P",3e+08,9.5e+08,6.5e+07,438333333.333333,264674852.938049,173658480.395284,703008186.271382
20,"Total",833333333.333333,2366666666.66667,866666666.666667,1355555555.55556,505647122.354789,849908433.200767,1861202677.91035
20,"EryR",316666660.666667,1299999972,399999966,672222199.555555,314809364.868077,357412834.687478,987031564.423632
20,"TetR",633333327.333333,933333305.333333,366666632.666666,644444421.777778,163676888.811048,480767532.966729,808121310.588826
20,"DRP",6.00000005990431,28.0000002795535,34.0000003394578,22.6666668929719,8.51143030818103,14.1552365847908,31.1780972011529
20,"P",1.2e+09,3e+07,1.65e+08,4.65e+08,369560549.842648,95439450.1573524,834560549.842648
21,"Total",4e+08,1e+09,666666666.666667,688888888.888889,173561103.909037,515327784.979852,862449992.797926
21,"EryR",103333333.333333,699999962,293333315.333333,365555536.888889,175987502.781614,189568034.107274,541543039.670503
21,"TetR",113333333.333333,49999961.9999996,233333315.333333,132222203.555555,53759872.5036162,78462331.0519392,185982076.059172
21,"DRP",0,38.000000379394,18.0000001797129,18.6666668530356,10.974718531675,7.6919483213606,29.6413853847107
21,"P",8.3e+09,4.5e+07,3.05e+08,2883333333.33333,2709373133.72997,173960199.60336,5592706467.06331
22,"Total",733333333.333333,7e+08,1.1e+08,514444444.444444,202451030.506358,311993413.938086,716895474.950803
22,"EryR",566666656.666667,233333315.333333,6e+07,286666657.333333,148673141.792223,137993515.54111,435339799.125556
22,"TetR",399999990,299999982,36666666.6666667,245555546.222222,108360391.597486,137195154.624736,353915937.819708
22,"DRP",10.0000000998405,18.0000001797129,0,9.33333342651782,5.2068331692564,4.12650025726142,14.5401665957742
22,"P",7e+08,3.6e+08,1.62e+10,5753333333.33333,5224255396.17317,529077937.160167,10977588729.5065
23,"Total",2e+07,5e+08,766666666.666667,428888888.888889,218456990.710125,210431898.178764,647345879.599014
23,"EryR",1e+07,176666664.666667,699999976,295555546.888889,207866877.638099,87688669.2507899,503422424.526988
23,"TetR",16666666.6666667,233333331.333333,499999976,249999991.333333,139774944.278823,110225047.05451,389774935.612157
23,"DRP",0,2.0000000199681,24.0000002396173,8.66666675319512,7.688375139875,0.978291613320118,16.3550418930701
23,"P",2.6e+10,2.1e+09,2e+08,9433333333.33333,8301472426.28947,1131860907.04386,17734805759.6228
24,"Total",858333333.333333,8.5e+08,1.3e+09,1002777777.77778,148630580.240797,854147197.536981,1151408358.01857
24,"EryR",523333320.333333,454999989,549999989,509444432.777778,28289726.6285139,481154706.149264,537734159.406292
24,"TetR",493333320.333333,343333322.333333,483333322.333333,439999988.333333,48419463.120618,391580525.212715,488419451.453951
24,"DRP",13.0000001297927,11.0000001098246,11.0000001098246,11.6666667831473,0.666666673322701,11.0000001098246,12.33333345647
24,"P",2937500000,1282500000,5.8e+08,1.6e+09,698821925.33816,901178074.66184,2298821925.33816
