"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,17167,16278,0,179167,0,0,"freq_both"
1,85604.0403635657,73747.1078048628,0,179222.034697809,0,0,"freq_both"
2,426788.781633302,334050.797240585,0,181556.879432472,0,0,"freq_both"
3,2125875.06432489,1511851.12680231,0,192727.567127237,0,0,"freq_both"
4,10543487.115784,6814541.09466864,0,247010.450029027,0,0,"freq_both"
5,51240057.3744,30134006.376855,0,526273.107032932,0.03777902376768,0.0254574049129488,"freq_both"
6,227880762.241115,122575403.714941,0.0966834418270351,2227196.31222865,0.220340413461523,0.133476006453227,"freq_both"
7,749764329.625312,375461128.982571,0.893951429960005,12964419.6588133,1.37691778114688,0.757462850187909,"freq_both"
8,1411327653.14553,679951954.477378,3.92522756979492,44702559.8719674,4.87472085610182,2.50217035229963,"freq_both"
9,1737662409.87495,825989129.766932,7.98305995569331,55655446.6903465,6.13499184622677,3.0510778486672,"freq_both"
10,1839193203.91431,870911510.702271,9.84569794551613,44225243.954839,4.88414227468621,2.4154597726923,"freq_both"
11,1866639022.88339,883026518.172049,10.3564582949742,39375890.096332,4.34910392986792,2.1500928097907,"freq_both"
12,1873596420.25898,886096289.515556,10.4843821507662,38101182.5648719,4.20833585009355,2.08046397881179,"freq_both"
13,1875324414.16893,886858646.277702,10.5160308442427,37783854.8255763,4.17328785845709,2.0631353773382,"freq_both"
14,1875751418.04789,887047027.408185,10.52384472,37705427.8547586,4.16462555340867,2.05885290064729,"freq_both"
15,1875856744.30352,887093493.873692,10.525771677712,37686082.5156023,4.16248883420783,2.05779657029169,"freq_both"
16,1875882730.85321,887104958.26453,10.5262470018205,37681309.5408502,4.16196165170941,2.05753594829839,"freq_both"
17,1875889177.9768,887107802.517407,10.5263648823882,37680125.3910514,4.16183086046529,2.05747128941313,"freq_both"
18,1875890752.38304,887108497.092127,10.5263937098522,37679836.2182221,4.1617989208592,2.05745549952841,"freq_both"
19,1875891139.29124,887108667.782921,10.5264008071398,37679765.1543864,4.16179107174355,2.05745161918558,"freq_both"
20,1875891234.32145,887108709.707031,10.5264025568181,37679747.7000877,4.16178914388799,2.05745066611766,"freq_both"
21,1875891257.98282,887108720.145625,10.5264030147507,37679743.3541794,4.16178866387538,2.05745042881533,"freq_both"
22,1875891265.2416,887108723.347954,10.5264032047402,37679742.0209513,4.16178851661818,2.05745035601625,"freq_both"
23,1875891266.78932,887108724.030755,10.5264032639074,37679741.7366804,4.16178848522,2.05745034049403,"freq_both"
24,1875891266.60519,887108723.94952,10.5264032433917,37679741.770501,4.16178848895554,2.05745034234076,"freq_both"
25,1875891266.16762,887108723.756481,10.5264032369017,37679741.8508693,4.16178849783235,2.05745034672916,"freq_both"
26,1875891265.98528,887108723.67604,10.5264032341973,37679741.8843592,4.16178850153136,2.05745034855783,"freq_both"
27,1875891265.9093,887108723.64252,10.5264032330703,37679741.8983146,4.16178850307276,2.05745034931984,"freq_both"
28,1875891265.87764,887108723.628552,10.5264032326007,37679741.9041299,4.16178850371507,2.05745034963738,"freq_both"
29,1875891265.86445,887108723.622732,10.526403232405,37679741.9065531,4.16178850398272,2.0574503497697,"freq_both"
30,1875891265.85895,887108723.620306,10.5264032323235,37679741.907563,4.16178850409426,2.05745034982483,"freq_both"
