"model_name","value","beta","L","gamma","alpha","tau","log.density"
"mass_decay_link_L",0.025,1.91009144402202e-10,105.490391536311,0.00130124355817019,3.57767312010145e-08,0.550713939701904,-2168.28746549907
"mass_decay_link_L",0.5,1.81551122906798e-10,110.747703410214,0.000600463037769075,2.5292176955972e-08,0.670325409210806,-2164.19528732024
"mass_decay_link_L",0.975,1.69693466806874e-10,118.129729275793,0.000525519980411998,2.07442213035311e-08,0.812438336098787,-2161.87574874422
"mass_decay_link_beta",0.025,5.1082861474213e-09,6.57385615524524,0.00164925597483541,1.68812239179266e-07,0.217408581653192,-479.974063031155
"mass_decay_link_beta",0.5,4.72763429776519e-09,6.98893121805753,0.00130643092372079,7.03536486644793e-08,0.232859183399339,-415.597940053544
"mass_decay_link_beta",0.975,3.97248333789413e-09,8.7388545148191,0.000954445439294401,5.52747536363183e-08,0.272128004941941,-407.715753292015
"mass_decay_link_both",0.025,5.8069257674575e-09,29.8192062666814,0.00171529684158248,4.14344342544592e-08,0.653615637217282,-284.266167766123
"mass_decay_link_both",0.5,5.48196838227733e-09,49.4836562392829,0.000989849694505217,2.34103650466573e-08,0.882903350198541,-232.477441255625
"mass_decay_link_both",0.975,4.61102487195106e-09,56.057272479182,0.000733414031797868,2.02141788106665e-08,0.95085730564576,-229.175159180776
"frequentist_decay_link_beta",0.025,4.09457738090731e-08,3.5247370040954,0.0017472036572536,1.44005445403901e-07,0.206722439747262,-359.064405788174
"frequentist_decay_link_beta",0.5,4.03362438479023e-08,3.53395714599001,0.00160365206614394,1.03843221285876e-07,0.215837055715212,-317.113500572673
"frequentist_decay_link_beta",0.975,2.4687424611585e-08,3.80148529910835,0.00156795907766174,1.03684657022685e-07,0.216054954408435,-316.341007181199
"frequentist_decay_link_both",0.025,3.42987574601641e-08,8.28290463150878,0.00658043823255014,9.38701033537355e-08,0.415492273344341,-248.449254338421
"frequentist_decay_link_both",0.5,2.55420768958527e-08,13.8078697284122,0.00363772095857068,3.51465910978379e-08,0.710050659028768,-226.921921615837
"frequentist_decay_link_both",0.975,1.41274896215822e-08,17.9845901288328,0.0025552937851444,2.54981322353574e-08,0.841907422309076,-222.806007323068
"frequentist_decay_link_L",0.025,2.43003563548102e-10,51.0044599371204,0.000910842257210112,5.12280969635869e-08,0.307955561706131,-2039.20209495899
"frequentist_decay_link_L",0.5,2.1036222373678e-10,59.7296217159408,0.000333143125411095,2.63010764946108e-08,0.382323096950055,-2034.75621000449
"frequentist_decay_link_L",0.975,1.73543076267694e-10,70.8686360682768,0.000249966833145898,1.72422968893654e-08,0.456198147426202,-2032.96754240257
