"model_name","init_pha","beta","L","gamma","alpha","tau","log.density"
"tr_dde_mass_decay_link_L","10_3",1.03808136084019e-10,67.9448545668419,3.33547940755664e-05,5.19558382362035e-06,0.292437006860605,-453457.972184052
"tr_dde_mass_decay_link_L","10_4",1.11879964898992e-10,76.9007038075505,3.33085080759958e-05,2.26149947126413e-07,0.309916474160863,-37849264.7554219
"tr_dde_mass_decay_link_L","10_5",9.32182061620768e-11,103.958826698191,3.32793318646225e-05,1.09361422292162e-06,0.305574407545771,-20788002025.0359
"tr_dde_fit_mass_decay_link_L","10_3",8.37577794599777e-11,44.7087529136532,3.29742243213901e-05,8.34161542108015e-06,0.0102478677509161,-427632.706084386
"tr_dde_fit_mass_decay_link_L","10_4",7.6924089439664e-11,57.5973924173493,3.34261896113232e-05,5.38299121912479e-07,0.010010919381434,-35506528.5150515
"tr_dde_fit_mass_decay_link_L","10_5",8.75351430623945e-11,95.4157695366502,3.33407037488549e-05,1.36377792727286e-06,0.222023427893918,-19370612983.6554
"tr_dde_fit_mass_decay_link_both","10_3",1.96719093491013e-10,99.0374086658606,3.33462028294739e-05,0.000143853732466322,0.228560889627424,-265410.278846273
"tr_dde_fit_mass_decay_link_both","10_4",2.27102853312671e-10,110.365449077216,3.34602294937976e-05,4.3970687759527e-06,0.234081188010643,-25426458.2294797
"tr_dde_fit_mass_decay_link_both","10_5",5.1876793240757e-10,113.93639184865,3.32096949271389e-05,4.84145747309898e-07,0.289953720485035,-16128982941.5846
"tr_dde_frequentist_decay_link_beta","10_3",1.43216894049886e-10,97.1083291502049,3.32938085461307e-05,0.000326588424145221,0.290767055045948,-326524.232568942
"tr_dde_frequentist_decay_link_beta","10_4",1.9065697032415e-10,94.3689217281706,3.34674238229821e-05,8.98826923197784e-06,0.302082395407722,-28539538.6230702
"tr_dde_frequentist_decay_link_beta","10_5",3.84606064862543e-10,96.6266600976228,3.32295761369193e-05,1.11857185163026e-06,0.308183584267058,-15014721394.5656
"tr_dde_fit_frequentist_decay_link_both","10_3",1.90191512138531e-10,100.555249490143,3.35753976064378e-05,0.00014368339324285,0.21497663458346,-264773.988057609
"tr_dde_fit_frequentist_decay_link_both","10_4",2.18223136407017e-10,110.934836139803,3.33040209053868e-05,4.71126931075553e-06,0.21499128444927,-25398664.0144131
"tr_dde_fit_frequentist_decay_link_both","10_5",4.94463399247437e-10,109.057046266791,3.38202471647577e-05,9.16921921835748e-07,0.261028325988994,-15938553873.6603
"tr_dde_fit_frequentist_decay_link_L","10_3",2.75262022329593e-10,15.7064672788948,3.5353626676587e-05,3.13718151050263e-07,0.0105705297753607,-413875.022979314
"tr_dde_fit_frequentist_decay_link_L","10_4",1.12643700777335e-10,41.6194038571819,3.33819956596095e-05,3.16268270618198e-07,0.0100049797534977,-34763758.0349707
"tr_dde_fit_frequentist_decay_link_L","10_5",9.34207901497398e-11,93.7035964124749,3.34410750867137e-05,1.19941244223578e-06,0.214576866694117,-17710761993.9254
"tr_dde_mass_decay_link_beta","10_3",1.40365886569399e-10,97.9800224439773,3.34749568779287e-05,0.000325106191037501,0.294657823871986,-326757.129488637
"tr_dde_mass_decay_link_beta","10_4",1.86317986189696e-10,95.2392360816231,3.32572105550541e-05,9.12330599421517e-06,0.294067519118015,-28540297.7058425
"tr_dde_mass_decay_link_beta","10_5",3.75914967804003e-10,98.2231139457835,3.32050317266727e-05,9.21840234270485e-07,0.299246959420061,-15115444358.449
"tr_dde_mass_decay_link_both","10_3",2.29291432191122e-10,100.900559398677,3.30678826559701e-05,0.000128913004907528,0.30218814610755,-265783.504476323
"tr_dde_mass_decay_link_both","10_4",2.74763186140094e-10,108.870788687922,3.3232954090684e-05,3.72042569729178e-06,0.289130279455621,-25437576.2608794
"tr_dde_mass_decay_link_both","10_5",5.19709634426171e-10,117.447913652401,3.3376415887511e-05,7.55781729815268e-07,0.286464295228042,-16110315556.834
"tr_dde_frequentist_decay_link_L","10_3",4.1085465484054e-10,22.1281231191417,3.2477385819486e-05,4.40894682706962e-08,0.316997725013245,-429639.916106616
"tr_dde_frequentist_decay_link_L","10_4",1.77247056984498e-10,53.1738076258183,3.34171302222049e-05,2.20185898461257e-07,0.286620510954993,-36677267.2211868
"tr_dde_frequentist_decay_link_L","10_5",9.94718071821284e-11,104.137967658818,3.32661839837023e-05,9.58624824302035e-07,0.290419115054997,-19176474288.1875
"tr_dde_frequentist_decay_link_both","10_3",2.3737277933122e-10,99.3475656055278,3.31160415995796e-05,0.000125403270858076,0.305875846488244,-265000.17607243
"tr_dde_frequentist_decay_link_both","10_4",2.77667271244455e-10,109.727356107658,3.32436936818292e-05,3.8202309013392e-06,0.298879202817127,-25409854.9096505
"tr_dde_frequentist_decay_link_both","10_5",5.22298148254137e-10,116.404024255275,3.33268300804264e-05,1.90058748628844e-06,0.260870910373756,-15910674707.8814
