"Time","cfu","Bacteria"
0,24000,"Total"
0,24000,"EryR"
0,3e+06,"P"
0,15000,"TetR"
0,0,"DRP"
1,30000,"Total"
1,26000,"EryR"
1,2400000,"P"
1,26000,"TetR"
1,0,"DRP"
2,140000,"Total"
2,96000,"EryR"
2,3e+06,"P"
2,82000,"TetR"
2,0,"DRP"
3,2e+06,"Total"
3,920000,"EryR"
3,3300000,"P"
3,640000,"TetR"
3,0,"DRP"
4,10400000,"Total"
4,6400000,"EryR"
4,5700000,"P"
4,3e+06,"TetR"
4,0,"DRP"
5,7e+07,"Total"
5,2.2e+07,"EryR"
5,16400000,"P"
5,2.2e+07,"TetR"
5,0,"DRP"
6,1.6e+08,"Total"
6,1.08e+08,"EryR"
6,4.4e+07,"P"
6,2e+08,"TetR"
6,0,"DRP"
7,2e+08,"Total"
7,1.72e+08,"EryR"
7,1.53e+08,"P"
7,1.4e+08,"TetR"
7,0,"DRP"
8,3.2e+08,"Total"
8,1.8e+08,"EryR"
8,2.4e+07,"P"
8,7.4e+07,"TetR"
8,0,"DRP"
16,9.6e+07,"Total"
16,3.4e+07,"EryR"
16,7.4e+08,"P"
16,4.8e+07,"TetR"
16,0,"DRP"
17,6e+07,"Total"
17,2e+07,"EryR"
17,6.9e+08,"P"
17,2e+07,"TetR"
17,0,"DRP"
18,2e+07,"Total"
18,1.8e+07,"EryR"
18,1.05e+09,"P"
18,1.4e+07,"TetR"
18,0,"DRP"
19,3.6e+07,"Total"
19,2.6e+07,"EryR"
19,9.2e+08,"P"
19,2.2e+07,"TetR"
19,0,"DRP"
20,4.6e+07,"Total"
20,1.8e+07,"EryR"
20,9.2e+08,"P"
20,2e+07,"TetR"
20,0,"DRP"
21,3.4e+07,"Total"
21,2.2e+07,"EryR"
21,9.6e+08,"P"
21,1.4e+07,"TetR"
21,0,"DRP"
22,2.4e+07,"Total"
22,2e+06,"EryR"
22,1.67e+09,"P"
22,4e+06,"TetR"
22,0,"DRP"
23,1.4e+07,"Total"
23,2e+07,"EryR"
23,1.03e+09,"P"
23,1e+07,"TetR"
23,0,"DRP"
24,4.8e+07,"Total"
24,1.8e+07,"EryR"
24,1.1e+09,"P"
24,1.9e+07,"TetR"
24,0,"DRP"
