"Time","Bacteria","data1","data2","data3","Mean","SE"
0,"B",3220.39729920261,5404.86757996309,5353.07327146355,4659.44605020975,719.679707330433
1,"B",7559.78086309972,2787.26134690181,4433.67028060419,4926.90416353524,1399.60653763548
2,"B",34987.0578378555,43263.4749271193,33232.3391447582,37160.9573032443,3093.01904484138
3,"B",174023.838305396,245839.397159059,223994.668849782,214619.301438079,21254.7387574652
4,"B",35384.4860332138,2486651.18771477,955942.58359505,1159326.08578101,714889.44306428
5,"B",18406235.7634724,10237955.0580555,5313263.15984304,11319151.3271236,3818080.75386191
6,"B",47775026.7779538,58952465.9629744,86482121.5124537,64403204.7511273,11501343.554833
7,"B",234664840.188674,328556907.333912,227159142.037273,263460296.519953,32620343.5031118
8,"B",489171928.156237,195969744.125122,165887937.18202,283676536.487793,103114007.737336
0,"P",16408.0727652428,7465.86319361039,5585.16381755461,9819.69992546927,3338.62496858979
1,"P",8022.98288986997,1644.79587235748,11963.6137163493,7210.46415952559,3006.36216712389
2,"P",9634.21183618318,16341.3091830379,10372.3727175811,12115.964578934,2123.39140207975
3,"P",8211.7620958392,10378.5225971031,7822.76227911104,8804.34899068446,795.057046530311
4,"P",10494.0671785624,22451.4374791553,14259.4613499402,15734.9886692193,3529.75739387424
5,"P",106873.052429256,59268.1127941006,67420.1915546211,77853.7855926592,14699.2344792695
6,"P",1067561.58608687,209502.347442121,5282157.02606728,2186406.98653209,1567568.99313528
7,"P",138146007.897888,-19152914.4761819,34682256.7491421,51225116.723616,46155488.6844898
8,"P",843890911.554522,452629323.202684,429767350.796825,575429195.184677,134393002.437818
